Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
29858,1.04,0.01,0.08,29.09,1.37,1.61,1.07
29963,1.04,0.01,0.09,29.05,1.34,0.44,0.98
30067,1.03,0.01,0.09,29.09,1.24,1.34,1.04
30172,1.04,0.01,0.09,29.09,1.45,0.60,0.92
30276,1.03,0.01,0.11,29.09,1.21,0.86,0.89
30382,1.04,0.01,0.07,29.14,1.26,1.33,1.14
30486,1.04,0.02,0.11,29.14,1.34,0.38,0.79
30590,1.04,0.01,0.07,29.14,1.50,1.92,1.03
30695,1.03,0.02,0.11,29.09,1.27,0.21,0.95
30799,1.04,0.01,0.09,29.19,1.44,1.60,0.90
30904,1.04,0.01,0.09,29.05,1.35,0.37,1.10
31008,1.04,0.01,0.09,29.05,1.26,1.26,0.94
31113,1.04,0.01,0.07,29.00,1.33,0.79,1.07
31217,1.04,0.01,0.11,29.09,1.15,0.66,0.92
31323,1.04,0.01,0.07,29.14,1.41,1.37,1.02
31427,1.04,0.02,0.11,29.14,1.13,0.21,1.11
31532,1.04,0.01,0.09,29.05,1.10,1.53,0.94
31636,1.04,0.01,0.10,29.09,1.38,0.40,1.02
31740,1.03,0.01,0.09,29.09,1.26,1.37,0.88
31845,1.04,0.01,0.09,29.14,1.01,0.60,1.04
31949,1.03,0.01,0.10,29.09,1.34,1.47,1.06
32054,1.03,0.02,0.08,29.09,1.31,0.88,1.05
32158,1.04,0.01,0.10,29.09,1.39,0.72,0.79
32263,1.04,0.01,0.07,29.19,1.33,1.38,1.07
32368,1.04,0.01,0.10,29.09,1.39,0.43,1.00
32473,1.04,0.01,0.08,29.09,1.18,1.59,0.89
32577,1.04,0.01,0.11,29.19,1.46,0.40,1.08
32681,1.04,0.02,0.09,29.19,1.34,1.50,0.92
32786,1.04,0.01,0.09,29.09,1.38,0.62,0.87
32890,1.03,0.01,0.10,29.05,1.35,0.76,0.95
32995,1.03,0.01,0.07,29.05,1.37,1.30,1.10
33099,1.04,0.01,0.11,29.14,1.04,0.59,0.95
33204,1.04,0.01,0.07,29.19,1.26,1.50,0.89
33308,1.04,0.01,0.11,29.09,1.34,0.26,0.97
33414,1.03,0.01,0.08,29.14,1.32,1.57,1.08
33518,1.03,0.01,0.10,29.05,1.50,0.49,1.14
33623,1.03,0.02,0.09,29.14,1.27,1.31,1.10
33727,1.04,0.01,0.08,29.14,1.40,1.05,1.08
33831,1.04,0.02,0.11,29.05,1.08,0.85,0.91
33936,1.03,0.01,0.07,29.05,1.35,1.31,0.95
34040,1.04,0.01,0.12,29.09,1.08,0.48,0.86
34145,1.03,0.01,0.08,29.09,1.35,1.87,1.11
34249,1.04,0.01,0.10,29.09,1.51,0.25,0.90
34354,1.03,0.01,0.10,29.05,1.21,1.86,0.95
34459,1.04,0.01,0.09,29.14,1.41,0.60,0.87
34564,1.04,0.02,0.11,29.19,1.19,1.00,0.76
34668,1.03,0.01,0.08,29.09,1.19,1.21,0.94
34772,1.04,0.01,0.12,29.05,1.18,0.60,1.00
34877,1.04,0.01,0.07,29.14,1.37,1.35,0.98
34981,1.04,0.02,0.11,29.09,1.27,0.23,0.89
35086,1.03,0.01,0.07,29.09,1.42,1.69,0.97
35190,1.03,0.02,0.10,29.09,1.47,0.13,0.90
35295,1.03,0.01,0.10,29.05,1.18,1.63,1.02
35399,1.03,0.02,0.09,29.05,1.48,0.45,1.05
35505,1.04,0.01,0.10,29.14,1.18,0.88,0.98
35609,1.04,0.01,0.07,29.09,1.34,1.33,1.11
35714,1.03,0.02,0.12,29.09,1.31,0.24,0.88
35818,1.03,0.01,0.07,29.05,1.40,1.46,1.00
35922,1.04,0.02,0.11,29.14,1.15,0.30,1.02
36027,1.03,0.01,0.08,29.05,1.38,1.70,1.07
36131,1.04,0.01,0.09,29.05,1.44,0.43,1.08
36236,1.04,0.01,0.10,29.05,0.95,1.53,0.85
36340,1.04,0.01,0.08,29.09,1.31,1.04,0.96
36445,1.03,0.01,0.11,29.14,1.52,0.68,0.97
36550,1.04,0.01,0.08,29.05,1.58,1.44,0.99
36655,1.04,0.01,0.11,29.14,1.40,0.33,0.88
36759,1.03,0.01,0.08,29.09,1.16,1.53,1.03
36864,1.05,0.01,0.11,29.09,1.45,0.24,1.08
36968,1.03,0.01,0.10,29.05,1.38,1.54,1.17
37072,1.04,0.01,0.09,29.05,1.82,0.63,0.89
37177,1.05,0.01,0.10,29.00,0.42,1.05,0.83
37281,1.03,0.01,0.08,29.00,1.41,1.18,1.08
37386,1.04,0.01,0.12,29.09,0.66,0.47,0.89
37490,1.04,0.01,0.06,29.05,1.33,1.25,0.87
