Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
28612,0.36,-0.06,-0.89,27.73,1.25,1.68,0.70
28717,0.36,-0.06,-0.88,27.78,1.34,1.38,0.73
28821,0.35,-0.06,-0.89,27.87,1.28,1.26,0.82
28926,0.36,-0.05,-0.90,27.78,1.27,1.34,0.92
29031,0.35,-0.06,-0.89,27.73,1.38,1.80,0.88
29135,0.36,-0.06,-0.89,27.82,1.47,1.43,0.60
29240,0.36,-0.05,-0.89,27.78,1.29,1.57,0.96
29344,0.36,-0.06,-0.89,27.78,1.31,1.15,0.82
29449,0.35,-0.05,-0.88,27.82,1.60,1.65,0.80
29553,0.36,-0.06,-0.89,27.97,1.32,1.47,0.95
29658,0.35,-0.06,-0.89,27.78,1.31,1.49,0.76
29763,0.35,-0.06,-0.89,27.87,1.31,1.59,0.85
29868,0.36,-0.06,-0.89,27.82,1.37,1.35,0.78
29972,0.36,-0.06,-0.89,27.87,1.28,1.41,0.85
30076,0.36,-0.06,-0.90,27.92,1.40,1.81,0.95
30181,0.36,-0.06,-0.89,27.78,1.43,1.40,0.95
30285,0.35,-0.05,-0.90,27.82,1.35,1.70,0.79
30390,0.35,-0.06,-0.90,27.82,1.39,1.59,0.92
30494,0.36,-0.05,-0.90,27.78,1.39,1.23,0.78
30600,0.36,-0.06,-0.89,27.92,1.27,1.42,0.85
30704,0.36,-0.06,-0.90,27.87,1.26,1.36,0.72
30809,0.36,-0.05,-0.90,27.87,1.47,1.36,0.85
30913,0.36,-0.06,-0.88,27.82,1.27,1.36,0.81
31017,0.36,-0.06,-0.89,27.87,1.15,1.57,0.75
31122,0.36,-0.06,-0.89,27.82,1.37,0.97,0.90
31226,0.36,-0.06,-0.88,27.97,1.19,1.45,0.98
31331,0.36,-0.06,-0.89,27.92,1.25,1.31,0.78
31436,0.36,-0.05,-0.90,27.92,1.31,1.34,0.70
31541,0.35,-0.06,-0.90,27.87,1.26,1.05,0.76
