Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
31326,0.07,0.01,0.96,29.00,1.44,0.92,1.01
31430,0.07,0.01,0.94,28.95,1.32,0.84,0.75
31535,0.07,0.01,0.96,28.91,1.43,1.03,0.92
31639,0.07,-0.00,0.95,28.86,1.31,0.96,0.90
31744,0.08,0.01,0.96,28.81,1.27,0.90,1.05
31848,0.08,0.00,0.94,28.95,1.14,1.01,0.98
31952,0.08,0.01,0.94,28.91,1.11,1.03,0.95
32057,0.07,0.00,0.96,28.86,1.27,1.11,0.86
32162,0.08,0.00,0.95,29.00,1.34,0.71,0.88
32267,0.07,0.01,0.96,28.86,1.31,0.84,1.03
32371,0.08,0.01,0.95,28.86,1.46,0.80,0.85
32476,0.07,0.01,0.96,28.91,1.37,0.99,1.10
32580,0.08,0.01,0.95,28.86,1.49,0.89,0.89
32685,0.08,0.01,0.94,28.86,1.44,1.15,1.09
32789,0.08,0.01,0.96,28.91,1.33,0.89,1.05
32893,0.08,0.01,0.95,28.91,1.33,1.08,1.08
32998,0.07,0.01,0.96,28.91,1.45,1.11,1.05
33103,0.07,0.01,0.95,28.91,1.44,0.96,1.05
33208,0.07,0.00,0.95,28.91,1.19,1.03,0.93
33312,0.08,0.00,0.95,28.91,1.31,1.02,1.11
33417,0.07,0.01,0.96,28.91,1.40,0.98,0.85
33521,0.08,0.00,0.95,28.91,1.36,0.92,1.02
33626,0.08,0.01,0.95,28.91,1.27,0.92,1.05
33730,0.08,0.00,0.95,28.91,1.08,0.98,0.98
33835,0.07,0.01,0.95,28.81,1.27,1.11,1.02
33939,0.07,0.00,0.96,28.91,1.58,0.80,0.95
34043,0.08,0.01,0.94,28.86,1.47,0.86,1.05
34149,0.07,0.00,0.96,28.91,1.31,1.13,1.01
34253,0.08,0.00,0.94,28.86,1.37,0.87,0.98
34358,0.08,0.00,0.95,28.81,1.43,0.89,0.88
34462,0.08,0.01,0.95,28.95,1.35,0.95,0.98
34567,0.08,0.01,0.95,28.95,1.23,0.98,0.94
34671,0.08,0.00,0.96,28.91,1.29,0.97,1.11
34776,0.07,0.00,0.94,28.91,1.30,0.99,0.99
34880,0.07,0.00,0.96,28.81,1.25,1.05,1.13
34984,0.08,0.01,0.94,28.86,1.19,1.03,0.91
35090,0.08,0.00,0.96,28.72,1.39,1.02,0.89
35194,0.08,0.00,0.94,28.91,1.33,0.85,1.18
35299,0.08,0.01,0.95,28.77,1.26,0.89,1.05
35403,0.08,0.00,0.96,28.91,1.32,0.98,1.08
35508,0.08,0.01,0.95,28.86,1.44,1.01,1.02
35612,0.07,0.01,0.95,28.91,1.35,1.13,1.03
35717,0.07,0.01,0.95,28.86,1.46,0.85,0.94
35821,0.08,0.01,0.96,28.91,1.49,0.79,1.04
35926,0.07,0.01,0.95,28.86,1.37,1.02,1.05
36030,0.08,0.00,0.96,28.91,1.27,0.95,0.81
36135,0.08,0.01,0.95,28.91,1.15,0.89,0.90
36240,0.08,0.01,0.96,28.95,1.44,0.92,0.91
36344,0.08,-0.00,0.96,28.91,1.27,1.11,1.02
36449,0.08,0.01,0.94,28.91,1.29,0.88,1.03
36553,0.08,0.01,0.95,28.86,1.27,1.08,0.92
36658,0.07,0.01,0.94,28.86,1.28,0.92,0.95
36762,0.08,0.00,0.95,28.95,1.27,1.11,1.04
36867,0.08,0.00,0.94,28.91,1.31,0.76,1.11
36971,0.08,0.00,0.95,28.95,1.39,0.98,0.92
37076,0.07,0.00,0.94,28.81,1.35,0.97,0.98
37181,0.08,0.00,0.96,28.91,1.42,0.89,1.00
37285,0.08,0.01,0.96,28.86,1.42,0.98,0.90
37390,0.07,0.00,0.95,28.86,1.36,0.89,1.15
37494,0.07,0.00,0.95,28.91,1.41,1.02,1.01
37599,0.08,0.00,0.95,29.00,1.34,1.01,0.95
37703,0.08,0.00,0.96,29.05,1.34,0.93,1.00
37808,0.08,0.00,0.94,29.00,1.36,0.88,0.92
37912,0.07,0.01,0.97,28.86,1.37,1.07,1.00
38017,0.07,0.01,0.96,28.91,1.20,1.02,1.06
38122,0.08,0.00,0.94,28.95,1.27,0.93,1.14
38226,0.07,0.00,0.96,28.91,1.37,0.97,1.00
38331,0.07,-0.00,0.94,28.91,1.44,1.11,0.97
38435,0.08,0.01,0.96,28.95,1.36,1.04,0.94
38540,0.08,0.00,0.96,28.95,1.43,1.07,1.11
38644,0.07,0.00,0.96,28.95,1.47,1.11,1.13
38749,0.08,0.00,0.94,28.91,1.50,0.94,1.08
38853,0.08,0.01,0.95,28.81,1.41,0.83,1.03
38958,0.07,0.00,0.95,28.95,1.31,1.02,1.07
39062,0.08,0.01,0.94,28.91,1.40,1.05,1.05
39168,0.08,0.01,0.96,28.95,1.26,1.00,0.92
39272,0.08,0.01,0.94,28.91,1.23,0.88,1.01
39376,0.08,0.00,0.95,28.86,1.28,1.05,1.06
39481,0.07,0.00,0.95,28.91,1.22,1.01,1.05
39585,0.08,0.01,0.96,28.95,1.37,1.01,0.96
39690,0.08,-0.00,0.94,28.91,1.31,0.87,1.07
39794,0.07,0.00,0.95,28.81,1.34,0.94,1.26
39899,0.08,0.01,0.95,29.05,1.34,0.99,0.98
40003,0.08,-0.00,0.94,28.95,1.37,0.96,0.92
40109,0.07,0.01,0.95,28.91,1.43,1.01,0.95
40213,0.08,0.00,0.95,28.91,1.22,0.91,1.07
