240160,0.08,0.01,-0.96,29.09,1.36,0.90,0.82
241165,0.08,0.00,-0.94,29.05,1.32,0.91,1.03
242169,0.07,0.00,-0.95,29.09,1.31,1.15,1.11
243174,0.08,0.01,-0.96,29.05,1.43,1.03,1.08
244178,0.07,0.00,-0.94,29.00,1.41,0.89,1.15
245183,0.07,0.01,-0.94,28.91,1.41,0.97,0.91
246188,0.07,0.01,-0.96,28.95,1.49,1.03,0.89
247192,0.07,0.01,-0.95,29.00,1.34,0.98,0.97
248197,0.07,0.00,-0.95,29.05,1.46,1.05,1.02
249201,0.08,0.01,-0.96,29.00,1.40,0.93,1.04
250206,0.07,-0.00,-0.95,29.05,1.34,1.06,0.85
