Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX,gY,gZ 
35401,0.02,0.99,-0.05,29.19,0.48,0.80,1.08
35506,0.04,1.00,0.11,29.33,2.37,1.26,0.95
35610,0.03,1.00,0.02,29.24,0.17,0.37,0.95
35715,0.02,0.99,0.04,29.28,2.31,1.24,0.70
35819,0.01,1.00,0.08,29.28,0.50,0.82,1.01
35923,0.01,1.00,0.04,29.28,1.88,1.41,0.91
36028,0.01,1.01,0.09,29.28,1.26,1.04,0.96
36132,-0.00,0.99,-0.03,29.33,0.83,1.26,1.27
36238,0.02,1.00,0.12,29.28,1.95,1.11,1.01
36342,0.02,0.99,-0.04,29.28,0.08,0.74,1.28
36447,0.04,1.00,0.09,29.33,2.50,1.24,0.86
36551,0.04,1.00,0.03,29.38,0.13,0.34,1.05
36656,0.02,1.00,0.05,29.33,2.24,1.24,0.95
36760,0.02,1.01,0.09,29.24,0.75,0.47,0.93
36865,0.00,0.99,-0.05,29.28,1.50,1.29,1.04
36969,0.02,1.00,0.11,29.24,1.57,1.14,0.94
37073,-0.00,0.99,-0.05,29.38,0.78,0.93,0.97
37178,0.02,1.00,0.12,29.28,2.37,1.20,0.89
37283,0.03,0.99,-0.03,29.28,0.10,0.40,1.07
37388,0.04,1.00,0.09,29.28,2.40,1.08,0.79
37492,0.03,1.00,0.03,29.28,0.22,0.50,0.94
37597,0.03,1.00,0.05,29.28,2.02,1.45,0.76
37701,0.02,1.01,0.08,29.28,0.93,0.85,0.94
37806,-0.00,0.99,-0.02,29.28,1.14,1.08,0.85
37910,0.02,1.01,0.11,29.28,1.79,1.13,1.01
38014,0.01,0.99,-0.04,29.38,0.39,0.85,1.01
38119,0.03,1.01,0.12,29.28,2.46,1.21,0.96
38223,0.04,0.99,-0.00,29.28,0.18,0.33,0.93
38329,0.04,1.00,0.09,29.33,2.67,1.20,0.82
38433,0.02,1.00,0.07,29.33,0.78,0.73,1.00
38538,0.01,1.00,0.01,29.38,1.54,1.30,0.95
38642,0.01,1.01,0.11,29.24,1.47,0.90,0.85
38747,0.01,0.98,-0.06,29.38,0.67,1.06,1.14
38851,0.03,1.00,0.11,29.28,2.04,1.11,1.11
38956,0.03,1.00,-0.02,29.28,0.12,0.68,1.08
39060,0.04,1.00,0.08,29.42,2.52,1.18,0.79
39164,0.03,1.01,0.05,29.24,0.27,0.60,1.00
39270,0.01,1.00,0.04,29.38,2.28,1.34,0.92
39374,0.00,1.01,0.11,29.28,0.95,0.96,1.10
39479,0.00,0.99,-0.02,29.42,1.40,1.27,1.04
39583,0.03,1.00,0.12,29.28,1.82,1.21,1.13
39688,0.03,1.00,-0.02,29.38,0.17,0.56,1.12
39792,0.03,0.99,0.09,29.33,2.37,1.08,0.98
39897,0.03,1.00,-0.03,29.38,-0.15,0.53,1.15
40001,0.04,1.00,0.09,29.38,2.53,1.37,0.95
40105,0.02,1.01,0.05,29.38,0.53,0.60,0.89
40210,0.01,0.99,0.03,29.33,1.92,1.38,1.05
40315,0.00,1.01,0.10,29.24,1.18,1.08,1.13
40420,0.01,0.99,-0.03,29.28,0.75,1.16,1.08
40524,0.03,1.00,0.10,29.38,1.99,1.00,0.98
40629,0.02,0.99,-0.02,29.28,0.09,0.56,0.98
40733,0.04,1.00,0.10,29.28,2.24,1.33,0.67
40838,0.04,1.01,0.00,29.28,-0.02,0.27,0.99
40942,0.04,1.00,0.06,29.28,2.40,1.52,0.66
41047,0.02,1.00,0.06,29.38,0.81,0.15,0.94
41151,0.03,0.99,0.02,29.38,1.98,1.87,0.47
41255,0.03,0.99,0.09,29.42,1.48,0.88,1.10
41361,0.02,0.99,-0.03,29.19,1.31,1.37,0.56
41465,0.02,1.00,0.10,29.47,1.99,1.53,0.39
41570,0.02,0.99,-0.01,29.33,0.33,0.58,0.39
41674,0.03,1.00,0.08,29.28,2.11,1.71,0.37
41779,0.02,1.01,0.07,29.24,0.37,-0.24,0.65
41883,0.02,1.00,0.05,29.19,1.85,1.67,0.71
41988,0.01,1.00,0.07,29.28,1.21,0.79,1.02
42092,0.02,0.99,-0.02,29.33,1.05,0.98,0.91
42196,0.02,0.99,0.11,29.38,1.82,1.44,1.01
42302,0.02,0.99,-0.03,29.28,0.66,0.40,0.86
42406,0.03,1.00,0.11,29.28,2.37,1.46,0.78
42511,0.02,1.01,0.03,29.28,0.40,0.69,1.19
42615,0.03,1.00,0.07,29.38,2.60,1.21,0.65
42720,0.02,1.01,0.07,29.38,0.91,0.75,0.97
42824,0.01,0.99,-0.02,29.38,1.31,1.00,0.85
